Household_ID,Cluster_ID,Province,District,Area_Type,Habitat_Type,Dwelling_Type,Sleeping_Rooms,Dwelling_Owner,Occupancy_Status,Dwelling_Value_RWF,Estimated_Rent,Actual_Rent_Paid,Own_Residential_House,How_Acquired_House,Main_Water_Source,Distance_Water_Source_m,Time_To_Water_Source_min,Drinking_Water_Source,Water_Insufficiency_4weeks,Rainwater_Harvesting,Connected_To_Grid,Main_Lighting_Source,Electricity_Bill_RWF,Has_Internet,Cook_Stove_Type,Cooking_Fuel_Primary,Cooking_Location,Garbage_Disposal,Toilet_Type,Toilet_Shared,Environmental_Disaster,Wall_Material,Roof_Material,Floor_Material,Floor_Area_sqm,Own_Livestock,Cattle,Goats,Sheep,Pigs,Poultry,Consumption_Quintile,HH_Weight,Population_Weight,Extreme_Poverty,Poverty_Rate,Welfare_Category,Strata_ID,Rent_Final,Value_Per_Sqm,Rent_Per_Sqm,Room_Density,Internet_Flag,Urban_Flag,Value_Per_Room,Rent_Value_Ratio
300001,10001,City of Kigali,Nyarugenge,Urban,Umudugudu (Planned rural settlement),House occupied by multiple Households,2,Non relative,Tenancy (renting),1500000,,150000,No,,"Piped into compound, yard/pot",581,20,Bottled water,"Yes, at least once",No measures,1,Electricity from National Grid (EUCL),3000,Yes,Charcoal/fire stove,Charcoal.,In a separate dwelling,Rubbish collection Service,Ventilated improved pit (VIP) latrine,No,No,Tree trunks with  mud and cement,Metal sheets/corrugated iron,Clay tiles,48,No,,,,,,Q5,170.958195,1025.749146,Non Extreme Poor,Non Poor,Non Poor,111,150000,31250,3125,0.041666667,1,1,750000,0.1
300002,10001,City of Kigali,Nyarugenge,Urban,Spontaneous/informal/unplanned housing,House occupied by multiple Households,1,Relative,Dwelling provided free of charge,1500000,30000,,No,,Public tap/standpipe,30,12,Public tap/standpipe,"No, always sufficient",Ditch,1,Electricity from National Grid (EUCL),1000,No,Cooking gas stove,Gas,"In dwelling, in a sleeping area",Rubbish collection Service,Pit Latrine with constructed floor slab,Yes,Yes,Mud bricks with cement,Metal sheets/corrugated iron,Cement,8.75,No,,,,,,Q5,170.958195,170.9581909,Non Extreme Poor,Non Poor,Non Poor,111,30000,171428.5714,3428.571429,0.114285714,0,1,1500000,0.02
300003,10001,City of Kigali,Nyarugenge,Urban,Umudugudu (Planned rural settlement),House occupied by multiple Households,1,Non relative,Tenancy (renting),1500000,,35000,No,,"Piped into compound, yard/pot",581,20,Bottled water,"Yes, at least once",No measures,1,Electricity from National Grid (EUCL),3000,Yes,Cooking gas stove,Gas,"In dwelling, not in  sleeping area",Rubbish collection Service,Ventilated improved pit (VIP) latrine,Yes,No,Tree trunks with  mud and cement,Metal sheets/corrugated iron,Cement,12.99,Yes,1,0,0,0,0,Q5,170.958195,170.9581909,Non Extreme Poor,Non Poor,Non Poor,111,35000,115473.4411,2694.380293,0.076982294,1,1,1500000,0.023333333
300004,10001,City of Kigali,Nyarugenge,Urban,Spontaneous/informal/unplanned housing,House occupied by multiple Households,3,Non relative,Tenancy (renting),1500000,,60000,No,,"Piped into compound, yard/pot",581,20,"Piped into compound, yard/pot","Yes, at least once",No measures,1,Electricity from National Grid (EUCL),2500,Yes,Charcoal/fire stove,Charcoal.,Outdoors,Rubbish collection Service,Ventilated improved pit (VIP) latrine,Yes,Yes,Oven fired bricks with cement,Metal sheets/corrugated iron,Cement,28,No,,,,,,Q5,170.958195,683.8327637,Non Extreme Poor,Non Poor,Non Poor,111,60000,53571.42857,2142.857143,0.107142857,1,1,500000,0.04
300005,10001,City of Kigali,Nyarugenge,Urban,Spontaneous/informal/unplanned housing,House occupied by one household,2,Relative,Dwelling provided free of charge,1500000,40000,,No,,Public tap/standpipe,100,5,Public tap/standpipe,"No, always sufficient",No measures,1,Electricity from National Grid (EUCL),500,No,Charcoal/fire stove,Charcoal.,Outdoors,Thrown in the household?s fields or bushes,Pit Latrine with constructed floor slab,Yes,Yes,Tree trunks with  mud and cement,Metal sheets/corrugated iron,Cement,44,No,,,,,,Q3,170.958195,683.8327637,Non Extreme Poor,Non Poor,Non Poor,111,40000,34090.90909,909.0909091,0.045454545,0,1,750000,0.026666667
300006,10001,City of Kigali,Nyarugenge,Urban,Spontaneous/informal/unplanned housing,House occupied by one household,2,Spouse with head,Owner occupied,8000000,60000,,,Bought,"Piped into compound, yard/pot",581,20,"Piped into compound, yard/pot","Yes, at least once",No measures,1,Electricity from National Grid (EUCL),2000,Yes,Charcoal/fire stove,Charcoal.,In a separate dwelling,Rubbish collection Service,Pit Latrine with constructed floor slab,No,No,Mud bricks with cement,Metal sheets/corrugated iron,Cement,50,No,,,,,,Q4,170.958195,854.7909546,Non Extreme Poor,Non Poor,Non Poor,111,60000,160000,1200,0.04,1,1,4000000,0.0075
300007,10001,City of Kigali,Nyarugenge,Urban,Spontaneous/informal/unplanned housing,House occupied by multiple Households,2,Head,Owner occupied,4000000,60000,,,Inherited from parents,"Piped into compound, yard/pot",581,20,"Piped into compound, yard/pot","Yes, at least once",Ditch,1,Electricity from National Grid (EUCL),1000,No,Charcoal/fire stove,Charcoal.,In a separate dwelling,Rubbish collection Service,Pit Latrine with constructed floor slab,Yes,No,Tree trunks with  mud and cement,Metal sheets/corrugated iron,Cement,35,No,,,,,,Q5,170.958195,170.9581909,Non Extreme Poor,Non Poor,Non Poor,111,60000,114285.7143,1714.285714,0.057142857,0,1,2000000,0.015
300008,10001,City of Kigali,Nyarugenge,Urban,Spontaneous/informal/unplanned housing,House occupied by multiple Households,1,Relative,Temporary  settlement,1500000,30000,,No,,Public tap/standpipe,300,10,Public tap/standpipe,"Yes, at least once",No measures,1,Electricity from National Grid (EUCL),2000,Yes,Charcoal/fire stove,Charcoal.,"In dwelling, not in  sleeping area",Rubbish collection Service,Pit Latrine with constructed floor slab,Yes,No,Tree trunks with  mud and cement,Metal sheets/corrugated iron,Cement,40,No,,,,,,Q4,170.958195,1025.749146,Non Extreme Poor,Non Poor,Non Poor,111,30000,37500,750,0.025,1,1,1500000,0.02
300009,10001,City of Kigali,Nyarugenge,Urban,Spontaneous/informal/unplanned housing,House occupied by multiple Households,1,Non relative,Tenancy (renting),1500000,,18000,No,,Public tap/standpipe,100,5,Public tap/standpipe,"Yes, at least once",Rainwater tank from roof,1,Electricity from National Grid (EUCL),0,No,Charcoal/fire stove,Charcoal.,Outdoors,Rubbish collection Service,Pit Latrine with constructed floor slab,Yes,No,Mud bricks with cement,Metal sheets/corrugated iron,Cement,7.5,No,,,,,,Q2,170.958195,170.9581909,Non Extreme Poor,1,Moderately poor,111,18000,200000,2400,0.133333333,0,1,1500000,0.012
300010,10002,City of Kigali,Nyarugenge,Urban,Modern planned urban area,Several buildings in a compound occupied by several households,1,Non relative,Tenancy (renting),1500000,,70000,Yes,Inherited from parents,"Piped into compound, yard/pot",581,20,Bottled water,"Yes, at least once",Ditch,1,Electricity from National Grid (EUCL),5000,Yes,Cooking gas stove,Gas,"In dwelling, not in  sleeping area",Rubbish collection Service,Flush to pit latrine,No,No,Mud bricks with cement,Metal sheets/corrugated iron,Clay tiles,54,No,,,,,,Q5,185.5334174,556.6002808,Non Extreme Poor,Non Poor,Non Poor,111,70000,27777.77778,1296.296296,0.018518519,1,1,1500000,0.046666667
